id;jhi_file;jhi_file_content_type;file_content_type;file_name
1;../fake-data/blob/hipster.png;image/png;systems Berkshire;infomediaries salmon
2;../fake-data/blob/hipster.png;image/png;Cheese Electronics;Unbranded
3;../fake-data/blob/hipster.png;image/png;parsing RAM Unbranded Metal Towels;reboot incentivize Regional
4;../fake-data/blob/hipster.png;image/png;salmon;Designer Massachusetts neural-net
5;../fake-data/blob/hipster.png;image/png;generate;Lead
6;../fake-data/blob/hipster.png;image/png;port Garden;solution Brand
7;../fake-data/blob/hipster.png;image/png;Lake;Saint Helena Pound
8;../fake-data/blob/hipster.png;image/png;Arkansas Pennsylvania;secured line
9;../fake-data/blob/hipster.png;image/png;Regional Soap envisioneer;gold Officer
10;../fake-data/blob/hipster.png;image/png;Generic solutions HTTP;Plastic Investor Money Market Account
