id;raison_social;raison_com;id_fiscale;ice;num_cnss;adresse;tel;fax;email;gerant;structure;capital
1;e-services Accountability Security;hacking cross-platform;withdrawal IB;interface;GB;digital Practical;Gorgeous hacking;Bedfordshire;Andrew.Friesen68@yahoo.com;Ports Officer JSON;Tools Electronics;Ameliorated Shoals
2;violet Savings Account;Credit Card Account;transmit Bedfordshire Berkshire;compelling Oregon;hack clicks-and-mortar next generation;Mississippi;markets;Berkshire;Andy0@yahoo.com;convergence Auto Loan Account;Kids Yen 24/365;bus digital Cambridgeshire
3;transmitter Granite programming;Orchestrator synthesizing backing up;vortals District;Dominica Yen;payment Saudi Arabia;HTTP black Minnesota;salmon auxiliary;portals;Waldo2@gmail.com;relationships;Bedfordshire interface intangible;well-modulated
4;Bolivia;feed payment;plum Savings Account matrix;Corporate Pizza FTP;JSON Planner Lock;SDD Hawaii;synergistic Shoes Engineer;Integrated connecting;Nayeli_Wilderman59@yahoo.com;workforce Awesome Plastic Salad bypass;focus group purple Associate;Grocery Personal Loan Account Refined
5;Bedfordshire;disintermediate;Oregon;directional Practical Concrete;web-readiness;Integration;quantify Music Officer;Human;Laury90@yahoo.com;Specialist;Checking Account Mauritania;Integration
6;Outdoors Mobility National;Solutions;Consultant Sleek Frozen Tuna grid-enabled;connect Savings Account;European Unit of Account 9(E.U.A.-9);out-of-the-box;Concrete invoice Liechtenstein;Credit Card Account;Wava_Pfannerstill@hotmail.com;Clothing Won;radical Beauty;JSON Licensed Concrete Pizza
7;Mandatory Nigeria Cliff;web-readiness invoice;Object-based reinvent bi-directional;quantify Industrial;deliverables Factors Concrete;alliance Facilitator;pink Gorgeous Steel;firmware;Lavon69@yahoo.com;Meadow;bleeding-edge Summit;Re-engineered
8;Unbranded Fresh Sausages Toys olive;New Mexico;Unbranded Rubber Towels Integration Utah;Investment Account Ball deposit;panel Netherlands Antilles;silver;SDD Borders programming;Lebanese Pound Practical encryption;Claire_Senger78@hotmail.com;task-force Stand-alone;Executive Concrete;Tasty Rubber Car Rustic Frozen Keyboard payment
9;Producer Isle of Man Direct;circuit India;Haven;online Security;enable;Fantastic architecture;Plastic;copying;Drew.Schiller28@yahoo.com;panel Keyboard panel;auxiliary;ubiquitous
10;Gorgeous out-of-the-box;Savings Account;Designer Tasty Rubber Chair Lead;CSS Movies;Implementation Convertible Marks;Iowa;solutions;bleeding-edge;Kattie.Gerhold@yahoo.com;Avon;overriding PNG Tools;Creative models Avon
