id;raison_social;raison_com;id_fiscale;ice;num_cnss;adresse;tel;fax;email;gerant;structure;capital
1;synthesize Licensed Fresh Car;synthesize driver;Refined Concrete Shirt magnetic;Fresh SMTP;COM matrix;Bedfordshire Triple-buffered Intelligent;Shoes;Function-based pixel;Abigale.Leannon54@yahoo.com;Bike Shoes Borders;Avon;Supervisor
2;Cote d'Ivoire;bypassing Sports;transmitting;user-centric;toolset;European Unit of Account 9(E.U.A.-9) Small Frozen Chicken;Executive Home Loan Account;Unbranded Planner;Joannie.Klein@yahoo.com;Research;Auto Loan Account background GB;Money Market Account alarm
3;programming Reverse-engineered Avon;Auto Loan Account fuchsia Cambridgeshire;target;Manager architect 6th generation;reinvent HTTP standardization;Hat Fantastic;Fantastic;neutral;Breanne_Huels@hotmail.com;array Fish port;connect;payment Human Generic
4;solid state generate;Brand customized;open-source;Books Ergonomic Investment Account;Myanmar optimize;Handmade Coordinator Configuration;Savings Account;transmit monitor;Jessy16@gmail.com;collaboration optimize Handcrafted Wooden Keyboard;secondary Incredible Metal Shirt Fresh;firewall Plastic
5;withdrawal;Kwanza;Roads Soft;maroon Ergonomic multi-state;Realigned Administrator exploit;Incredible Plastic Hat Zimbabwe Dollar;invoice Saint Martin Bond Markets Units European Composite Unit (EURCO);Tennessee;Micah83@yahoo.com;parsing Gorgeous Metal Bacon;reintermediate;bypassing holistic Jewelery
6;Cross-platform upward-trending;quantifying teal;Health;Fantastic Soft Hat Ergonomic Metal Sausages;Gorgeous Executive Equatorial Guinea;input Data solid state;product;Assurance Global payment;Giuseppe24@gmail.com;Synergized;Handmade Washington;synthesize
7;open-source Gateway;Wooden Malagasy Ariary;Games;withdrawal contingency black;Towels;Fresh Texas;analyzing;Credit Card Account;Kelvin0@hotmail.com;Assistant compressing;leverage Georgia;Ergonomic Frozen Shoes
8;Awesome Engineer connect;THX;Graphical User Interface withdrawal calculate;Handmade Soft Computer;magenta;brand Hong Kong Dollar e-tailers;zero tolerance Small Cotton Hat;action-items;Vidal48@yahoo.com;deposit bricks-and-clicks granular;compress;Small withdrawal program
9;hack Chair;Quetzal;Wooden invoice value-added;Intelligent;East Caribbean Dollar;Savings Account Argentine Peso Licensed;Triple-buffered;RSS;Madison_Murray79@gmail.com;neural Cambridgeshire sexy;Rubber;Georgia Steel
10;driver Human Wyoming;Agent;functionalities Ohio Assistant;Principal;Personal Loan Account disintermediate Mall;Refined;Tasty Plastic Shirt Auto Loan Account;Savings Account Buckinghamshire;Andres.Erdman85@hotmail.com;Regional;Gourde US Dollar HDD Fantastic Cotton Shoes;Licensed Plastic Bacon Row syndicate
