id;jhi_file;jhi_file_content_type;file_content_type;file_name
1;../fake-data/blob/hipster.png;image/png;black Lights SMS;Wooden District SDD
2;../fake-data/blob/hipster.png;image/png;Practical;New York applications
3;../fake-data/blob/hipster.png;image/png;Generic Cotton Gloves payment e-services;Beauty Generic Plastic Fish Pine
4;../fake-data/blob/hipster.png;image/png;Bacon;interface
5;../fake-data/blob/hipster.png;image/png;Mountains;Buckinghamshire SDD
6;../fake-data/blob/hipster.png;image/png;payment generate Belgium;South Dakota
7;../fake-data/blob/hipster.png;image/png;Credit Card Account e-tailers Swaziland;program
8;../fake-data/blob/hipster.png;image/png;port asymmetric;benchmark revolutionize navigating
9;../fake-data/blob/hipster.png;image/png;Computers SMS;New Zealand Dollar
10;../fake-data/blob/hipster.png;image/png;open-source;Frozen Jewelery
