id;type_indicateur;nom;description;date_valeur;valeur_contractuel;valeur_constate
1;parsing;RSS Clothing;Centers Savings Account Shoes;sensor;Programmable;transmit
2;Overpass Music;tan orchestration;dynamic;Money Market Account;Bedfordshire Intelligent Steel Fish program;Tuna invoice Branding
3;1080p Tuna Graphic Interface;Cotton Tools Architect;North Carolina compressing Kids;Bond Markets Units European Composite Unit (EURCO) overriding;cyan Checking Account;Buckinghamshire Health
4;Engineer extend;Designer Club sky blue;Factors;Granite Customer sky blue;Right-sized;protocol Officer Ergonomic Plastic Fish
5;Swiss Franc Optional;Iowa methodology;FTP disintermediate Handmade;Realigned Switchable;Granite;Berkshire vertical Representative
6;Developer;grow Refined Soft Keyboard Corporate;protocol parse Wooden;Australian Dollar;schemas Bedfordshire;Strategist Nevada
7;pricing structure;Home;Supervisor vortals;Auto Loan Account;Peru Incredible Soft Salad Hat;Practical Steel Chips Multi-layered Soft
8;communities IB Tasty;3rd generation;Factors Cheese;Tactics;stable;Nevada Meadow Alabama
9;asynchronous New York;Wooden;vertical;Avon parsing Cheese;Andorra;solid state Customer
10;1080p Licensed Metal Sausages Supervisor;Technician mindshare bypass;deposit mindshare driver;global Handmade Plastic Tuna;transparent;lavender Right-sized
