id;jhi_file;jhi_file_content_type;file_content_type;file_name
1;../fake-data/blob/hipster.png;image/png;Handcrafted Fresh Sausages Steel;Licensed Steel Soap
2;../fake-data/blob/hipster.png;image/png;dot-com USB Factors;Avon Walk Guinea Franc
3;../fake-data/blob/hipster.png;image/png;Tasty object-oriented plum;Car
4;../fake-data/blob/hipster.png;image/png;neural-net;Sausages
5;../fake-data/blob/hipster.png;image/png;Berkshire Cocos (Keeling) Islands Associate;Ergonomic
6;../fake-data/blob/hipster.png;image/png;Spring Directives;violet
7;../fake-data/blob/hipster.png;image/png;Home Loan Account;structure
8;../fake-data/blob/hipster.png;image/png;grey Cotton Ohio;Synchronised
9;../fake-data/blob/hipster.png;image/png;morph;Avon Supervisor withdrawal
10;../fake-data/blob/hipster.png;image/png;Leone schemas Fresh;AGP Brand
