id;type_indicateur;nom;description;date_valeur;valeur_contractuel;valeur_constate
1;Borders Car;virtual Avon;Vista;Avon programming;lime programming Republic of Korea;modular Coordinator
2;Boliviano Mvdol;calculate Regional;knowledge base;Rustic;Rustic Metal Mouse;interactive Credit Card Account
3;Total Meadows Branding;Refined SQL;Refined Frozen Car;SCSI;Licensed Fresh Fish hard drive Slovenia;neural-net Identity
4;Markets;toolset pixel models;Egyptian Pound Developer wireless;New Jersey Forward;quantifying navigating middleware;Chair
5;solutions Engineer Grocery;Multi-channelled;optical Executive Right-sized;morph magenta;Ohio;asynchronous Guinea-Bissau
6;global scalable Creative;Grocery Borders;Credit Card Account blue Stream;Libyan Dinar Gourde US Dollar;override 24/365;indexing Venezuela hack
7;Vermont Palestinian Territory;override Soft United States of America;Motorway holistic Accountability;Netherlands Antillian Guilder withdrawal;1080p Multi-channelled utilize;Freeway bypass Frozen
8;transmit Falkland Islands Pound;reboot;Agent Washington Consultant;Granite system-worthy;Research invoice;maximize Chair
9;withdrawal Taka;Beauty;THX;Legacy;Graphical User Interface;knowledge base panel
10;plug-and-play Global connecting;service-desk;zero administration Savings Account;Ergonomic;blue quantifying Plains;supply-chains HTTP back-end
